PDB,label,year,resolution,type,operation,data
4h2j,5.318758762624412,2012,1.81,IC50,=,4.8uM
4hbw,5.318758762624412,2012,1.69,IC50,=,4.8uM
4ipi,5.318758762624412,2013,1.75,Kd,=,4.8uM
4qag,5.318758762624412,2014,1.71,IC50,=,4.8uM
4r07,5.318758762624412,2015,2.00,Kd,=,4.8uM
4us3,5.318758762624412,2014,2.10,Kd,=,4.8uM
4us4,5.318758762624412,2014,2.60,Kd,=,4.8uM
4xjr,5.318758762624412,2015,3.00,IC50,=,4.8uM
2c80,5.327902142064283,2006,2.30,Kd,=,4.7uM
3arx,5.327902142064283,2011,1.16,Kd,=,4.7uM
3ftq,5.327902142064283,2009,2.90,Kd,=,4.7uM
3gjq,5.327902142064283,2009,2.60,Ki,=,4.7uM
3hxe,5.327902142064283,2009,1.95,IC50,=,4.7uM
3ml4,5.327902142064283,2010,2.60,Kd,=,4.7uM
3ozs,5.333014281670339,2011,1.44,Ki,=,4645nM
3q1x,5.327902142064283,2011,1.59,Ki,=,4.7uM
3rzi,5.327902142064283,2012,1.95,Kd,=,4.7uM
3wi6,5.327902142064283,2013,2.99,IC50,=,4.7uM
4b3u,5.327902142064283,2012,1.80,IC50,=,4.7uM
4giu,5.327902142064283,2013,1.67,Ki,=,4.7uM
4mcd,5.327902142064283,2013,1.55,IC50,=,4.7uM
4mep,5.327902142064283,2013,1.85,IC50,=,4.7uM
4xy9,5.332453660488484,2015,1.83,Kd,=,4651nM
1aqc,5.341035157335565,1997,2.30,Kd,=,4.56uM
1hee,5.337242168318426,2001,1.75,Ki,=,4.6uM
1jwu,5.337242168318426,2003,2.30,Kd,=,4.6uM
1k06,5.337242168318426,2001,1.80,Ki,=,4.6uM
1k08,5.337242168318426,2001,2.26,Ki,=,4.6uM
1zgi,5.337242168318426,2005,2.20,Ki,=,4.6uM
2qnb,5.337242168318426,2008,1.80,Ki,=,4.6uM
3atv,5.336299074610352,2011,1.58,Kd,=,4610nM
3efs,5.337242168318426,2009,2.30,Kd,=,4.6uM
3hkq,5.341988603342887,2009,1.70,Ki,=,4.55uM
3k4q,5.337242168318426,2010,2.20,Ki,=,4.6uM
3kqt,5.337242168318426,2010,2.40,Kd,=,4.6uM
3nee,5.337242168318426,2010,1.55,Kd,=,4.6uM
3nrz,5.337242168318426,2010,1.80,Kd,=,4.6uM
3qiy,5.337242168318426,2011,2.30,Ki,=,4.6uM
3v3v,5.337242168318426,2012,2.70,IC50,=,4.6uM
3vb5,5.337242168318426,2012,1.95,IC50,=,4.6uM
3vv7,5.337242168318426,2012,2.10,IC50,=,4.6uM
3zyr,5.337242168318426,2012,1.65,Kd,=,4.6uM
4j06,5.337242168318426,2013,2.00,IC50,=,4.6uM
4mg5,5.343901797987169,2014,2.05,Kd,=,4.53uM
4o78,5.337242168318426,2014,1.34,IC50,=,4.6uM
4wrq,5.337242168318426,2015,2.41,Kd,=,4.6uM
1ql9,5.351639989019068,2000,2.30,Ki,=,4.45uM
1wb0,5.346787486224656,2005,1.65,IC50,=,4.5uM
2fxv,5.346787486224656,2006,2.05,Kd,=,4.5uM
2gkl,5.346787486224656,2007,1.86,Ki,=,4.5uM
2gqn,5.346787486224656,2007,1.80,IC50,=,4.5uM
2h13,5.346787486224656,2006,1.58,Kd,=,4.5uM
2ltz,5.346787486224656,2012,NMR,Kd,=,4.5uM
2xyu,5.346787486224656,2011,2.12,IC50,=,4.5uM
3bc4,5.346787486224656,2008,1.82,Ki,=,4.5uM
3e9b,5.346787486224656,2008,2.15,Ki,=,4.5uM
3g8e,5.346787486224656,2009,3.00,Kd,=,4.5uM
3hkn,5.345823458122039,2009,1.80,Ki,=,4.51uM
3r8i,5.346787486224656,2012,2.30,Kd,=,4.5uM
3v2x,5.346787486224656,2012,1.85,Kd,=,4.5uM
4b9h,5.346787486224656,2013,2.10,Kd,=,4.5uM
4blb,5.349692476868063,2013,2.80,Kd,=,4.47uM
4ef4,5.354577730650908,2012,2.15,Kd,=,4.42uM
4ep2,5.3535962737769305,2012,1.90,Kd,=,4.43uM
4ie2,5.346787486224656,2013,2.21,IC50,=,4.5uM
4k6w,5.346787486224656,2014,1.50,IC50,=,4.5uM
4k76,5.346787486224656,2014,1.75,Ki,=,4.5uM
4lkd,5.346787486224656,2013,2.31,Kd,=,4.5uM
4rcp,5.354577730650908,2014,1.60,IC50,=,4.42uM
4wgi,5.346787486224656,2014,1.85,IC50,=,4.5uM
4yef,5.35261702988538,2015,1.72,Kd,=,4.44uM
4yx9,5.346787486224656,2015,1.75,Ki,=,4.5uM
1adl,5.356547323513812,1994,1.60,Kd,=,4.4uM
1oy7,5.356547323513812,2003,2.70,Ki,=,4.4uM
1w6y,5.356547323513812,2005,2.10,Kd,=,4.4uM
1yvz,5.356547323513812,2005,2.20,IC50,=,4.4uM
2nng,5.356547323513812,2007,1.20,Kd,=,4.4uM
2qaf,5.356547323513812,2008,1.95,IC50,=,4.4uM
2qlj,5.356547323513812,2007,2.60,Ki,=,4.4uM
2qn3,5.356547323513812,2008,1.96,Ki,=,4.4uM
3bv9,5.356547323513812,2008,1.80,Ki,=,4.4uM
3ldq,5.364516253185088,2011,1.90,Ki,=,4.32uM
3mf5,5.364516253185088,2010,2.00,Kd,=,4.32uM
3ncq,5.356547323513812,2010,1.24,Kd,=,4.4uM
3u3z,5.356547323513812,2012,1.50,Kd,=,4.4uM
4c1d,5.356547323513812,2014,1.20,IC50,=,4.4uM
4el9,5.359518563029578,2012,1.55,IC50,=,4.37uM
4hby,5.356547323513812,2012,1.59,IC50,=,4.4uM
4kod,5.359518563029578,2013,2.96,Kd,=,4.37uM
4pyq,5.356547323513812,2014,1.39,IC50,=,4.4uM
4qwi,5.356448631437055,2015,2.60,IC50,=,4.401uM
1gpk,5.366531544420414,2002,2.10,Ki,=,4.3uM
1sgu,5.3731465853332745,2004,1.90,Ki,=,4235nM
2glm,5.366531544420414,2007,2.60,Ki,=,4.3uM
2h2d,5.366531544420414,2006,1.70,Kd,=,4.3uM
2hj4,5.367542707815276,2007,1.80,Kd,=,4.29uM
2oc1,5.366531544420414,2007,2.70,Ki,=,4.3uM
3chf,5.366531544420414,2008,1.95,IC50,=,4.3uM
3lqj,5.366531544420414,2010,1.90,Kd,=,4.3uM
3qt6,5.366531544420414,2011,2.05,Ki,=,4.3uM
3wmb,5.368556230986828,2014,2.70,Ki,=,4.28uM
4dpy,5.366531544420414,2012,2.14,Ki,=,4.3uM
4du8,5.366531544420414,2012,2.10,Ki,=,4.3uM
4el5,5.366531544420414,2012,2.00,Ki,=,4.3uM
4g0k,5.366531544420414,2012,2.56,Kd,=,4.3uM
4lke,5.366531544420414,2013,1.65,Kd,=,4.3uM
4lkf,5.366531544420414,2013,1.64,Kd,=,4.3uM
4oow,5.366531544420414,2014,2.57,IC50,=,4.3uM
4xc2,5.366531544420414,2015,1.90,Kd,=,4.3uM
1g3e,5.376750709602099,2001,1.80,Ki,=,4.2uM
1hs6,5.376750709602099,2001,1.95,IC50,=,4.2uM
1ke0,5.376750709602099,2002,2.30,Ki,=,4.2uM
1thr,5.376750709602099,1994,2.30,IC50,=,4.2uM
2h2j,5.376750709602099,2006,2.45,Kd,=,4.2uM
2lty,5.376750709602099,2012,NMR,Kd,=,4.2uM
2m0o,5.376750709602099,2013,NMR,Kd,=,4.2uM
2ohu,5.376750709602099,2007,2.35,IC50,=,4.2uM
2qhd,5.376750709602099,2007,1.95,Kd,=,4.2uM
2vd7,5.376750709602099,2007,2.25,IC50,=,4.2uM
2xke,5.376750709602099,2010,2.20,IC50,=,4.2uM
3e85,5.376750709602099,2009,1.95,Kd,=,4.2uM
3sw9,5.376750709602099,2011,3.05,Kd,=,4.2uM
3tif,5.376750709602099,2012,1.80,Kd,=,4.2uM
3tww,5.376750709602099,2011,2.00,Kd,=,4.2uM
3ud8,5.384049948343599,2012,2.37,Kd,=,4.13uM
3zyb,5.376750709602099,2011,2.29,Kd,=,4.2uM
4ebv,5.376750709602099,2012,1.67,IC50,=,4.2uM
4f7v,5.380906669373258,2012,1.73,Kd,=,4.16uM
4hlw,5.376750709602099,2013,2.50,IC50,=,4.2uM
4kz0,5.376750709602099,2013,2.87,IC50,=,4.2uM
4qvw,5.383209513670284,2015,3.00,IC50,=,4.138uM
4umq,5.376750709602099,2014,2.60,IC50,=,4.2uM
1hy7,5.388276691992658,2002,1.50,IC50,=,4.09uM
1kyn,5.3872161432802645,2002,3.50,IC50,=,4.1uM
1qbv,5.3872161432802645,1999,1.80,Ki,=,4100nM
1uyi,5.3872161432802645,2004,2.00,IC50,=,4.1uM
2h6b,5.3872161432802645,2006,2.20,Kd,=,4.1uM
2ltx,5.3872161432802645,2012,NMR,Kd,=,4.1uM
2v22,5.3872161432802645,2008,2.60,IC50,=,4.1uM
2wic,5.3872161432802645,2010,2.05,Kd,=,4.1uM
2xpa,5.3872161432802645,2011,1.90,IC50,=,4.1uM
3e37,5.392544976785332,2009,1.80,IC50,=,4.05uM
3fc8,5.3872161432802645,2009,1.85,IC50,=,4.1uM
3fzc,5.3872161432802645,2010,2.00,Ki,=,4.1uM
3hkt,5.3872161432802645,2009,2.36,Ki,=,4.1uM
3hxb,5.3872161432802645,2009,2.25,IC50,=,4.1uM
3m1k,5.3872161432802645,2010,1.35,Ki,=,4.1uM
3so6,5.3872161432802645,2012,1.37,Kd,=,4.1uM
3tgs,5.3872161432802645,2012,2.70,Kd,=,4.1uM
3vjt,5.3872161432802645,2012,2.00,IC50,=,4.1uM
4btm,5.3872161432802645,2013,2.54,Kd,=,4.1uM
4cl6,5.392544976785332,2015,2.41,Kd,=,4.05uM
4ej8,5.3872161432802645,2013,2.35,Kd,=,4.1uM
4hxr,5.3872161432802645,2013,1.53,IC50,=,4.1uM
4hxs,5.3872161432802645,2013,1.43,IC50,=,4.1uM
4z88,5.3872161432802645,2015,2.09,Kd,=,4.1uM
5e1d,5.3872161432802645,2015,1.45,Kd,=,4.1uM
1bp0,5.3979400086720375,2000,2.40,Kd,=,4.0uM
1bq3,5.3979400086720375,1998,2.70,Ki,=,4uM
1f8b,5.3979400086720375,2001,1.80,Ki,=,4.0uM
1m7i,5.3979400086720375,2003,2.50,Kd,=,4.0uM
1mmr,5.3979400086720375,1996,2.40,Ki,=,4.0uM
1mxu,5.3979400086720375,2003,1.80,IC50,=,4.0uM
1my3,5.3979400086720375,2003,1.75,IC50,=,4.0uM
1nym,5.3979400086720375,2003,1.20,Ki,=,4.0uM
1ow6,5.3979400086720375,2003,2.35,Kd,=,4uM
1ow7,5.3979400086720375,2003,2.60,Kd,=,4uM
1ow8,5.3979400086720375,2003,2.85,Kd,=,4uM
1pz5,5.3979400086720375,2003,1.80,Kd,=,4uM
1r9l,5.3979400086720375,2004,1.59,Kd,=,4uM
1t1r,5.3979400086720375,2004,2.30,IC50,=,4uM
1trd,5.3979400086720375,1993,2.50,Ki,=,4uM
1tv6,5.3979400086720375,2004,2.80,IC50,=,4uM
1uu9,5.3979400086720375,2004,1.95,IC50,=,4uM
1uvs,5.3979400086720375,1997,2.80,Ki,=,4uM
1yi3,5.3979400086720375,2005,2.50,IC50,=,4.0uM
2c1p,5.3979400086720375,2006,2.00,Kd,=,4uM
2f35,5.404503778174426,2006,1.87,Kd,=,3.94uM
2g24,5.3979400086720375,2006,1.90,IC50,=,4uM
2i80,5.3979400086720375,2006,2.19,Ki,=,4uM
2jdm,5.402304814074488,2007,1.70,Kd,=,3.96uM
2qg2,5.3979400086720375,2008,1.80,Ki,=,4.0uM
2wzz,5.3979400086720375,2010,1.57,IC50,=,4.0uM
3arr,5.3979400086720375,2011,1.65,Kd,=,4.0uM
3b4p,5.3979400086720375,2008,1.70,Kd,=,4.0uM
3gwx,5.3979400086720375,2000,2.40,IC50,=,4.0uM
3ken,5.3979400086720375,2010,2.50,IC50,=,4uM
3l6h,5.3979400086720375,2010,2.30,Kd,=,4uM
3m57,5.3979400086720375,2010,1.70,Kd,=,4.0uM
3pch,5.3979400086720375,1998,2.05,Ki,=,4uM
3pma,5.3979400086720375,2011,2.20,Kd,=,4uM
3qcl,5.3979400086720375,2011,2.40,IC50,=,4.0uM
3rk5,5.3979400086720375,2012,2.00,IC50,=,4.0uM
4aph,5.3979400086720375,2012,1.99,Ki,=,4.0uM
4c5d,5.3979400086720375,2014,2.30,Kd,=,4.0uM
4ij1,5.3979400086720375,2013,1.79,Ki,=,4uM
4jlh,5.3979400086720375,2013,2.09,IC50,=,4.0uM
4m3p,5.3979400086720375,2014,1.90,Kd,=,4uM
4nwd,5.402304814074488,2014,2.60,Ki,=,3.96uM
4ozj,5.3979400086720375,2014,1.45,Kd,=,4uM
4ozn,5.3979400086720375,2014,2.60,Kd,=,4uM
4pin,5.3979400086720375,2014,1.90,Kd,=,4uM
4rqz,5.3979400086720375,2015,2.40,Kd,=,4.0uM
5fjw,5.3979400086720375,2015,2.80,Kd,=,4uM
1dzm,5.4089353929735005,2000,1.93,IC50,=,3.9uM
1u2r,5.4089353929735005,2004,2.60,Kd,=,3.9uM
1xxe,5.4089353929735005,2004,NMR,Ki,=,3.9uM
1y3a,5.4089353929735005,2005,2.50,Kd,=,3.9uM
2aia,5.4089353929735005,2005,1.70,IC50,=,3.9uM
2j47,5.4089353929735005,2006,1.98,Ki,=,3.9uM
2mps,5.4089353929735005,2015,NMR,Kd,=,3.9uM
3arn,5.4089353929735005,2010,1.80,IC50,=,3.9uM
3gqo,5.4089353929735005,2009,2.60,Kd,=,3.9uM
3kai,5.4089353929735005,2009,1.90,IC50,=,3.9uM
3tjh,5.4089353929735005,2011,2.12,Kd,=,3.9uM
4dro,5.4089353929735005,2012,1.10,IC50,=,3.9uM
4drp,5.4089353929735005,2012,1.80,IC50,=,3.9uM
4fgt,5.406713932979542,2013,2.00,Kd,=,3.92uM
4kmd,5.413412695328245,2013,1.70,Kd,=,3.86uM
4lwt,5.4089353929735005,2014,1.60,IC50,=,3.9uM
4m3d,5.4089353929735005,2014,1.90,IC50,=,3.9uM
4tun,5.412289034981089,2014,1.93,Kd,=,3.87uM
4u6z,5.4089353929735005,2015,1.80,Ki,=,3.9uM
4uma,5.4089353929735005,2014,1.76,Ki,=,3.9uM
5cbs,5.4089353929735005,2015,1.80,Kd,=,3.90uM
1abf,5.42021640338319,1993,1.90,Kd,=,3.8uM
1gja,5.42021640338319,2002,1.56,Ki,=,3.8uM
1h9z,5.42021640338319,2001,2.50,Kd,=,3.8uM
1nu8,5.42021640338319,2003,2.50,Kd,=,3.8uM
1p28,5.42021640338319,2003,1.70,Kd,=,3.8uM
1r5n,5.42021640338319,2004,2.90,Kd,=,3.8uM
1xot,5.42021640338319,2004,2.34,IC50,=,3.8uM
2a3w,5.42021640338319,2005,2.20,IC50,=,3.8uM
2qnz,5.42021640338319,2008,2.30,IC50,=,3.8uM
2vpo,5.42021640338319,2008,1.80,Kd,=,3.8uM
2wa8,5.42021640338319,2009,2.15,Kd,=,3.8uM
3l4t,5.42021640338319,2010,1.90,Ki,=,3.8uM
3ob1,5.416801226031377,2010,2.20,Kd,=,3.83uM
3qci,5.42021640338319,2011,2.27,IC50,=,3.8uM
3rl4,5.42021640338319,2011,1.29,IC50,=,3800nM
4fev,5.42021640338319,2012,1.89,Ki,=,3.8uM
4nxv,5.42021640338319,2013,2.30,Kd,=,3.8uM
4uxj,5.42021640338319,2015,3.00,IC50,=,3.8uM
1fq7,5.42712839779952,2000,2.80,Ki,=,3.74uM
1fw0,5.432973633840939,2000,1.90,Ki,=,3690nM
1y98,5.431798275933005,2005,2.50,Kd,=,3.7uM
2qln,5.431798275933005,2008,2.15,Ki,=,3.7uM
2qu2,5.431798275933005,2008,2.60,IC50,=,3.7uM
3ivv,5.431798275933005,2009,1.25,Kd,=,3.7uM
3k0k,5.431798275933005,2010,2.70,Ki,=,3.7uM
3k5f,5.431798275933005,2010,2.25,IC50,=,3.7uM
3ng4,5.431798275933005,2010,1.73,Kd,=,3.7uM
3qlc,5.431798275933005,2011,2.50,Kd,=,3.7uM
3s7f,5.431798275933005,2011,2.85,Kd,=,3.7uM
4b60,5.431798275933005,2013,1.83,Kd,=,3.7uM
4f5y,5.431798275933005,2012,2.40,Kd,=,3.70uM
4ofb,5.431798275933005,2015,3.05,Kd,=,3.7uM
4p2t,5.431798275933005,2014,2.15,IC50,=,3.7uM
4pnc,5.431798275933005,2014,1.54,IC50,=,3.7uM
4pox,5.431798275933005,2014,2.29,Kd,=,3.7uM
4tmp,5.431798275933005,2014,2.30,Kd,=,3.7uM
4xta,5.431798275933005,2015,2.50,IC50,=,3.7uM
5e1o,5.431798275933005,2015,2.00,Kd,=,3.7uM
1a4q,5.443697499232713,1999,1.90,IC50,=,3.6uM
1dzp,5.443697499232713,2000,1.83,IC50,=,3.6uM
1h0a,5.443697499232713,2002,1.70,Kd,=,3.6uM
1ijr,5.443697499232713,2002,2.20,IC50,=,3.6uM
1syi,5.444905551421681,2005,2.10,Ki,=,3590nM
2q6f,5.443697499232713,2008,2.00,Ki,=,3.6uM
2wr8,5.443697499232713,2009,1.77,Ki,=,3.6uM
3ggc,5.443697499232713,2009,2.78,Ki,=,3.6uM
3gs7,5.443697499232713,2009,1.80,IC50,=,3.6uM
3lp7,5.443697499232713,2010,2.04,Kd,=,3.6uM
3p2h,5.443697499232713,2011,2.00,Kd,=,3.6uM
3pty,5.437707135543525,2010,2.00,Kd,=,3.65uM
3run,5.443697499232713,2012,1.40,Kd,=,3.6uM
3u10,5.443697499232713,2011,2.30,Kd,=,3.6uM
4bdk,5.443697499232713,2013,3.30,IC50,=,3.6uM
4dju,5.443697499232713,2012,1.80,Ki,=,3.6uM
4fli,5.444905551421681,2012,1.55,IC50,=,3.59uM
4j26,5.438898616350944,2013,2.30,Ki,=,3.64uM
4mgb,5.435333935747911,2014,1.85,Kd,=,3.67uM
4osf,5.443697499232713,2014,1.62,IC50,=,3.6uM
4qz1,5.436756298859602,2015,3.00,IC50,=,3.658uM
4rsp,5.443697499232713,2015,1.62,Ki,=,3.6uM
4tju,5.443697499232713,2014,1.57,IC50,=,3.6uM
2iko,5.447210149807218,2006,1.90,Kd,=,3571nM
3mi3,5.448550002027125,2010,2.38,Ki,=,3.56uM
3my1,5.446116973356125,2010,2.80,IC50,=,3.58uM
4mp2,5.447331783887806,2014,1.75,Kd,=,3570nM
1anf,5.455931955649724,1997,1.67,Ki,=,3.5uM
1b4h,5.46344155742847,1998,1.90,Kd,=,3.44uM
1lf8,5.455931955649724,2002,2.30,Kd,=,3.5uM
1lv8,5.455931955649724,2003,2.30,Kd,=,3.5uM
1nnk,5.455931955649724,2003,1.85,IC50,=,3.5uM
1q65,5.455931955649724,2004,2.10,Ki,=,3.5uM
2cn8,5.455931955649724,2006,2.70,IC50,=,3.5uM
2fie,5.455931955649724,2006,2.81,IC50,=,3.5uM
2gg9,5.455931955649724,2006,1.05,IC50,=,3.5uM
2y4k,5.455931955649724,2011,2.45,Kd,=,3.5uM
3gbq,5.455931955649724,1997,NMR,Kd,=,3.5uM
3piz,5.455931955649724,2011,2.21,IC50,=,3.5uM
3s22,5.455931955649724,2011,1.65,IC50,=,3.5uM
4gw5,5.455931955649724,2013,2.20,Kd,=,3.5uM
4jft,5.455931955649724,2013,2.10,Ki,=,3.5uM
4kot,5.455931955649724,2013,1.55,Kd,=,3.5uM
4mvn,5.455931955649724,2014,1.70,Ki,=,3.5uM
4qz0,5.455683858252573,2015,3.00,IC50,=,3.502uM
4zly,5.455931955649724,2015,1.65,IC50,=,3.5uM
1g7f,5.468521082957745,2001,1.80,Ki,=,3.4uM
1gi1,5.468521082957745,2002,1.42,Ki,=,3.4uM
1nlo,5.468521082957745,1997,NMR,Kd,=,3.4uM
1o2s,5.468521082957745,2003,1.65,Ki,=,3.4uM
1xh5,5.468521082957745,2005,2.05,Kd,=,3400nM
2hf8,5.468521082957745,2006,2.10,Kd,=,3.4uM
2hz4,5.465339424171556,2007,2.80,IC50,=,3425nM
2r0z,5.468521082957745,2007,2.10,Kd,=,3.4uM
2xde,5.465973893943865,2010,1.40,Kd,=,3.42uM
2y7p,5.468521082957745,2011,1.85,Kd,=,3.4uM
3pd2,5.468521082957745,2010,1.86,Kd,=,3.4uM
3t3y,5.468521082957745,2012,2.00,IC50,=,3.4uM
4j77,5.468521082957745,2013,1.76,Kd,=,3.4uM
4jmu,5.468521082957745,2013,2.00,IC50,=,3.4uM
4n6g,5.468521082957745,2014,2.14,Kd,=,3.4uM
4n7j,5.468521082957745,2013,1.67,Kd,=,3.4uM
4n7m,5.468521082957745,2013,2.12,Kd,=,3.4uM
4qb3,5.468521082957745,2015,.94,Kd,=,3.4uM
4rrq,5.468521082957745,2015,1.79,Kd,=,3.4uM
4x3e,5.468521082957745,2015,2.30,Kd,=,3.4uM
4xcb,5.468521082957745,2015,1.60,Kd,=,3.4uM
1g85,5.481486060122113,2002,1.80,Kd,=,3.3uM
1uh1,5.481486060122113,2003,2.80,Kd,=,3.3uM
2cbv,5.481486060122113,2006,1.95,Kd,=,3.3uM
2co0,5.481486060122113,2006,2.25,Kd,=,3.3uM
2nww,5.481486060122113,2007,3.20,IC50,=,3.3uM
2qic,5.481486060122113,2008,2.10,Kd,=,3.3uM
2qyk,5.481486060122113,2008,2.10,IC50,=,3.3uM
2wxd,5.481486060122113,2010,1.60,IC50,=,3.3uM
2zkj,5.481486060122113,2008,2.00,Kd,=,3.3uM
3bxe,5.476253533188435,2008,1.80,Kd,=,3.34uM
3d2r,5.481486060122113,2008,2.03,Kd,=,3.3uM
3iw6,5.482804102050026,2009,2.10,Kd,=,3.29uM
3m58,5.481486060122113,2010,1.40,Kd,=,3.3uM
3qch,5.481486060122113,2011,2.40,IC50,=,3.3uM
3vp1,5.481486060122113,2012,2.30,IC50,=,3.3uM
3zdv,5.481486060122113,2013,1.41,Kd,=,3.3uM
4c5w,5.481486060122113,2014,1.70,IC50,=,3.3uM
4d2r,5.481486060122113,2015,2.10,IC50,=,3.3uM
4ie4,5.481486060122113,2013,2.50,IC50,=,3.3uM
4ifi,5.476253533188435,2013,2.20,Kd,=,3.34uM
4jfm,5.481486060122113,2013,1.02,Kd,=,3.3uM
4kp8,5.47755576649368,2013,1.80,Kd,=,3330nM
4n7h,5.481486060122113,2014,1.70,Kd,=,3.3uM
4oq6,5.481486060122113,2014,1.81,IC50,=,3.3uM
4pf5,5.481486060122113,2014,2.04,Kd,=,3.3uM
4qfg,5.481486060122113,2014,3.46,Kd,=,3.3uM
4tmf,5.481486060122113,2015,2.05,IC50,=,3.3uM
4x8p,5.481486060122113,2015,2.20,Kd,=,3.3uM
4y6r,5.481486060122113,2015,1.90,IC50,=,3.3uM
4ycu,5.481486060122113,2015,2.10,Kd,=,3.3uM
5alx,5.484523558617624,2015,2.23,IC50,=,3.277uM
1pot,5.494850021680094,1996,1.80,Kd,=,3.2uM
1pyn,5.494850021680094,2003,2.20,Ki,=,3.2uM
1tys,5.485452247339714,1994,1.80,Kd,=,3.27uM
1uef,5.494850021680094,2004,2.50,Kd,=,3.2uM
2h4k,5.494850021680094,2006,2.30,Ki,=,3.2uM
2ioa,5.494850021680094,2006,2.80,Ki,=,3.2uM
2o0u,5.494850021680094,2007,2.10,Ki,=,3.2uM
2qtr,5.494850021680094,2008,1.70,Kd,=,3.2uM
2r3y,5.494850021680094,2007,2.50,Kd,=,3.2uM
2uy5,5.494850021680094,2007,1.60,Ki,=,3.2uM
3bmq,5.494850021680094,2008,1.70,Ki,=,3.2uM
3bvb,5.494850021680094,2008,1.30,Kd,=,3.2uM
3ga5,5.494850021680094,2009,1.87,Kd,=,3.2uM
3h0b,5.494850021680094,2009,2.70,IC50,=,3.2uM
3hmp,5.489454989793388,2010,2.30,Kd,=,3.24uM
3i73,5.490797477668897,2010,2.40,Kd,=,3.23uM
3mvj,5.494850021680094,2010,2.49,IC50,=,3200nM
3sgx,5.494850021680094,2012,2.45,IC50,=,3.2uM
3t3g,5.485452247339714,2012,2.40,Ki,=,3.27uM
3tz4,5.494850021680094,2012,2.25,Kd,=,3.2uM
4f6s,5.489454989793388,2013,2.60,Kd,=,3.24uM
4knx,5.494850021680094,2014,1.90,IC50,=,3.2uM
4lv3,5.494850021680094,2014,1.42,Ki,=,3.2uM
4tq3,5.494850021680094,2014,2.41,Kd,=,3.2uM
4u7v,5.494850021680094,2015,1.38,Ki,=,3.2uM
4uvb,5.486782399932061,2014,2.80,IC50,=,3.26uM
4w9f,5.485452247339714,2014,2.10,Kd,=,3.27uM
4zs2,5.490797477668897,2015,2.16,IC50,=,3.23uM
2ajb,5.503070351926785,2006,2.75,Ki,=,3.14uM
2y58,5.5003129173815966,2011,3.25,Kd,=,3.16uM
3c1n,5.504455662453552,2008,2.72,Kd,=,3.13uM
3lfn,5.5003129173815966,2010,2.28,IC50,=,3160nM
3tza,5.501689446210399,2011,1.90,Ki,=,3.15uM
4nni,5.504455662453552,2014,2.64,Kd,=,3.13uM
4rt0,5.504455662453552,2015,1.80,Kd,=,3.13uM
1b2i,5.508638306165727,1999,NMR,IC50,=,3.1uM
1ggn,5.508638306165727,2000,2.36,Ki,=,3.1uM
1t08,5.508638306165727,2004,2.10,Kd,=,3.1uM
1xh3,5.508638306165727,2004,1.48,IC50,=,3.1uM
2gc8,5.508638306165727,2006,2.20,IC50,=,3.1uM
2uym,5.508638306165727,2007,2.11,IC50,=,3.1uM
2wqp,5.508638306165727,2009,1.75,Ki,=,3.1uM
3cn0,5.511449283499556,2008,1.52,IC50,=,3.08uM
3da9,5.508638306165727,2009,1.80,Kd,=,3.1uM
3kgt,5.508638306165727,2010,1.95,Kd,=,3.1uM
3qtq,5.508638306165727,2012,1.80,IC50,=,3.1uM
3qts,5.508638306165727,2012,1.90,IC50,=,3.1uM
3u51,5.508638306165727,2012,2.24,Kd,=,3.1uM
3vgc,5.507239610973163,1997,1.67,Ki,=,3.11uM
4i9c,5.508638306165727,2013,3.10,Kd,=,3.1uM
4k55,5.51427857351842,2013,1.91,Kd,=,3.06uM
4lz9,5.508638306165727,2013,3.70,Kd,=,3.1uM
4qwu,5.505845405981558,2015,3.00,IC50,=,3.120uM
4qxo,5.505845405981558,2014,1.88,Kd,=,3.12uM
4qz3,5.510744831630739,2015,2.80,IC50,=,3.085uM
4wz5,5.508638306165727,2015,1.60,IC50,=,3.1uM
4zba,5.510041520575165,2015,1.50,Kd,=,3.09uM
1a8i,5.522878745280337,1998,1.78,Ki,=,3.0uM
1h07,5.522878745280337,2003,1.85,IC50,=,3uM
1kc7,5.522878745280337,2002,2.20,Ki,=,3uM
1lox,5.522878745280337,1998,2.40,Ki,=,3uM
1oe7,5.522878745280337,2003,1.80,Kd,=,3uM
1oe8,5.522878745280337,2003,1.65,Kd,=,3uM
1pyg,5.522878745280337,1994,2.87,Kd,=,3uM
1tl9,5.522878745280337,2004,1.80,IC50,=,3.0uM
1xxi,5.522878745280337,2004,4.10,Kd,=,3.0uM
1ydr,5.522878745280337,1997,2.20,Ki,=,3.0uM
2cht,5.522878745280337,1994,2.20,Ki,=,3uM
2ez5,5.522878745280337,2006,NMR,Kd,=,3uM
2ga2,5.522878745280337,2007,1.95,IC50,=,3uM
2gcd,5.522878745280337,2006,2.55,IC50,=,3uM
2gz8,5.522878745280337,2006,1.97,IC50,=,3uM
2hwi,5.522878745280337,2006,2.00,IC50,=,3.0uM
2l8j,5.522878745280337,2011,NMR,Kd,=,3uM
2vnf,5.522878745280337,2008,1.76,Kd,=,3uM
2ydt,5.522878745280337,2011,1.60,Ki,=,3.0uM
3cgo,5.522878745280337,2008,3.00,IC50,=,3uM
3eys,5.522878745280337,2009,1.95,Kd,=,3uM
3h1k,5.522878745280337,2009,3.48,Ki,=,3uM
3hqr,5.522878745280337,2009,2.00,Kd,=,3uM
